,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased
149,TN,Tamil Nadu,TN_Tiruchirappalli,Tiruchirappalli,14162,203,13783,176
150,KA,Karnataka,KA_Raichur,Raichur,14157,64,13935,158
151,UP,Uttar Pradesh,UP_Bareilly,Bareilly,14056,391,13504,161
152,OR,Odisha,OR_Puri,Puri,13996,42,13835,119
153,OR,Odisha,OR_Mayurbhanj,Mayurbhanj,13891,93,13706,92
154,KA,Karnataka,KA_Koppal,Koppal,13872,62,13531,279
155,MH,Maharashtra,MH_Gondia,Gondia,13803,397,13245,155
156,MH,Maharashtra,MH_Yavatmal,Yavatmal,13728,365,12964,395
157,KA,Karnataka,KA_Chikkamagaluru,Chikkamagaluru,13675,114,13422,139
158,KA,Karnataka,KA_Bagalkote,Bagalkote,13666,22,13508,136
159,TN,Tamil Nadu,TN_Erode,Erode,13636,264,13228,144
160,MH,Maharashtra,MH_Buldhana,Buldhana,13589,578,12788,217
161,UT,Uttarakhand,UT_Haridwar,Haridwar,13363,404,12687,147
162,TG,Telangana,TG_Karimnagar,Karimnagar,13262,13246,16,0
163,KA,Karnataka,KA_Chikkaballapura,Chikkaballapura,12952,222,12613,116
164,MH,Maharashtra,MH_Jalna,Jalna,12775,205,12228,341
165,MH,Maharashtra,MH_Bhandara,Bhandara,12663,453,11933,275
166,WB,West Bengal,WB_Malda,Malda,12465,289,12065,111
167,WB,West Bengal,WB_Purba Bardhaman,Purba Bardhaman,12225,250,11880,95
168,TG,Telangana,TG_Nalgonda,Nalgonda,12100,12088,12,0
169,HR,Haryana,HR_Rohtak,Rohtak,12064,142,11776,146
170,OR,Odisha,OR_Balasore,Balasore,12043,128,11816,99
171,OR,Odisha,OR_Jajpur,Jajpur,11944,99,11819,26
172,WB,West Bengal,WB_Murshidabad,Murshidabad,11926,311,11469,146
173,WB,West Bengal,WB_Cooch Behar,Cooch Behar,11657,262,11323,72
174,UP,Uttar Pradesh,UP_Moradabad,Moradabad,11624,290,11158,176
175,TR,Tripura,TR_West Tripura,West Tripura,11577,65,11311,190
176,BR,Bihar,BR_Muzaffarpur,Muzaffarpur,11568,264,11259,45
177,HR,Haryana,HR_Ambala,Ambala,11501,204,11154,143
178,TG,Telangana,TG_Warangal Urban,Warangal Urban,11416,11393,23,0
179,TN,Tamil Nadu,TN_Pudukkottai,Pudukkottai,11397,51,11191,155
180,WB,West Bengal,WB_Bankura,Bankura,11357,359,10908,90
181,HR,Haryana,HR_Rewari,Rewari,11301,204,11024,73
